question,slug,url,volume24hr,volumeTotal,liquidity,endDate,category,outcomes
Will the Fed Pause–Pause–Cut in the next three decisions (Jan–Mar–Apr)?,will-the-fed-pausepausecut-in-the-next-three-decisions-janmarapr,https://polymarket.com/event/will-the-fed-pausepausecut-in-the-next-three-decisions-janmarapr,106.257,240175.43682800003,36206.40644,2026-04-29T00:00:00Z,Fed,Yes=0.0045 / No=0.9955
Will four or more people dissent the April Fed decision?,will-four-or-more-people-dissent-the-april-fed-decision,https://polymarket.com/event/will-four-or-more-people-dissent-the-april-fed-decision,104.64,19217.124935999997,10566.35444,2026-04-29T00:00:00Z,Fed,Yes=0.004 / No=0.996
Fed rate cut by December 2026 meeting?,fed-rate-cut-by-december-2026-meeting,https://polymarket.com/event/fed-rate-cut-by-december-2026-meeting,102.777776,66728.37155600006,41762.1562,2026-06-17T00:00:00Z,Fed,Yes=0.665 / No=0.335
Will the Fed Pause–Pause–Cut in the next three decisions (Mar–Apr–Jun)?,will-the-fed-pausepausecut-in-the-next-three-decisions-maraprjun,https://polymarket.com/event/will-the-fed-pausepausecut-in-the-next-three-decisions-maraprjun,102.58250000000001,16628.096351999997,14214.4523,2026-06-17T00:00:00Z,Fed,Yes=0.07 / No=0.93
Will monthly inflation increase by 0.7% in April?,will-monthly-inflation-increase-by-0pt7-in-april,https://polymarket.com/event/will-monthly-inflation-increase-by-0pt7-in-april,102.11,1032.0198619999999,3625.6744,2026-05-12T00:00:00Z,CPI,Yes=0.07 / No=0.93
Will the Fed Pause–Pause–Pause in the next three decisions (Mar–Apr–Jun)?,will-the-fed-pausepausepause-in-the-next-three-decisions-maraprjun,https://polymarket.com/event/will-the-fed-pausepausepause-in-the-next-three-decisions-maraprjun,100.505339,35196.354946,18023.4131,2026-06-17T00:00:00Z,Fed,Yes=0.92 / No=0.08
Will Rick Rieder be confirmed as Fed Chair and will rates stay above 2.5% in 2026?,will-rick-rieder-be-confirmed-as-fed-chair-and-will-rates-stay-above-2pt5-in-2026-941,https://polymarket.com/event/will-rick-rieder-be-confirmed-as-fed-chair-and-will-rates-stay-above-2pt5-in-2026-941,90.0,22991.250649999994,10060.9948,2026-12-31T00:00:00Z,Fed,Yes=0.0565 / No=0.9435
Will monthly inflation increase by ≥1.1% in April?,will-monthly-inflation-increase-by-1pt1-in-april,https://polymarket.com/event/will-monthly-inflation-increase-by-1pt1-in-april,89.835,785.619547,2551.35013,2026-05-12T00:00:00Z,CPI,Yes=0.005 / No=0.995
Will monthly inflation increase by 1.0% in April?,will-monthly-inflation-increase-by-1pt0-in-april,https://polymarket.com/event/will-monthly-inflation-increase-by-1pt0-in-april,89.83,1216.1316649999999,5691.46801,2026-05-12T00:00:00Z,CPI,Yes=0.0095 / No=0.9905
Will monthly inflation increase by 0.6% in April?,will-monthly-inflation-increase-by-0pt6-in-april,https://polymarket.com/event/will-monthly-inflation-increase-by-0pt6-in-april,89.83,656.250085,3324.8403,2026-05-12T00:00:00Z,CPI,Yes=0.15 / No=0.85
Will monthly inflation increase by 0.8% in April?,will-monthly-inflation-increase-by-0pt8-in-april,https://polymarket.com/event/will-monthly-inflation-increase-by-0pt8-in-april,89.83,897.383187,5414.86314,2026-05-12T00:00:00Z,CPI,Yes=0.021 / No=0.979
Will monthly inflation increase by 0.9% in April?,will-monthly-inflation-increase-by-0pt9-in-april,https://polymarket.com/event/will-monthly-inflation-increase-by-0pt9-in-april,89.83,804.8038860000001,5618.26108,2026-05-12T00:00:00Z,CPI,Yes=0.021 / No=0.979
"Will Powell say ""Tariff inflation"" during April press conference?",will-powell-say-tariff-inflation-during-april-press-conference,https://polymarket.com/event/will-powell-say-tariff-inflation-during-april-press-conference,86.765208,993.072137,1637.1158,2026-04-29T00:00:00Z,CPI,Yes=0.625 / No=0.375
Will the US confirm that aliens exist before Kevin Warsh is confirmed as Fed Chair?,will-the-us-confirm-that-aliens-exist-before-kevin-warsh-is-confirmed-as-fed-chair,https://polymarket.com/event/will-the-us-confirm-that-aliens-exist-before-kevin-warsh-is-confirmed-as-fed-chair,62.2,57497.889737999976,13586.16297,2026-10-31T00:00:00Z,Fed,Yes=0.0425 / No=0.9575
Will US GDP growth in 2026 be between 2.0% and 2.5%?,will-us-gdp-growth-in-2026-be-between-2pt0-and-2pt5,https://polymarket.com/event/will-us-gdp-growth-in-2026-be-between-2pt0-and-2pt5,60.0,1398.4840609999997,1945.5142,2027-01-29T00:00:00Z,GDP,Yes=0.105 / No=0.895
Will US GDP growth in 2026 be between 0.5% and 1.0%?,will-us-gdp-growth-in-2026-be-between-0pt5-and-1pt0,https://polymarket.com/event/will-us-gdp-growth-in-2026-be-between-0pt5-and-1pt0,55.788276999999994,15107.910350999997,1873.41841,2027-01-29T00:00:00Z,GDP,Yes=0.044 / No=0.956
Will trump try to fire Powell as Fed Chair before he leaves?,trump-tries-to-fire-powell-as-fed-chair-before-he-leaves,https://polymarket.com/event/trump-tries-to-fire-powell-as-fed-chair-before-he-leaves,55.555554,55642.814838,15927.0102,2026-06-30T00:00:00Z,Fed,Yes=0.085 / No=0.915
Will the April 2026 unemployment rate be 4.5%?,will-the-april-2026-unemployment-rate-be-4pt5,https://polymarket.com/event/will-the-april-2026-unemployment-rate-be-4pt5,55.46111,1016.6476559999998,2140.0723,2026-05-08T00:00:00Z,Labor,Yes=0.11 / No=0.89
"Will Powell say ""Inflation"" 40+ times during April press conference?",will-powell-say-inflation-40-times-during-april-press-conference,https://polymarket.com/event/will-powell-say-inflation-40-times-during-april-press-conference,54.08247000000001,21080.175879999995,2297.6651,2026-04-29T00:00:00Z,CPI,Yes=0.73 / No=0.27
Jerome Powell out from Fed Board by May 30?,jerome-powell-out-from-fed-board-by-may-30,https://polymarket.com/event/jerome-powell-out-from-fed-board-by-may-30,46.53418499999999,84086.0199190001,15531.6582,2026-12-31T00:00:00Z,Fed,Yes=0.28 / No=0.72
"Will Powell say ""Inflation"" 50+ times during April press conference?",will-powell-say-inflation-50-times-during-april-press-conference,https://polymarket.com/event/will-powell-say-inflation-50-times-during-april-press-conference,41.886791,4746.468425999997,2231.7785,2026-04-29T00:00:00Z,CPI,Yes=0.52 / No=0.48
Will the Fed Pause–Cut–Cut in the next three decisions (Apr–Jun–Jul)?,will-the-fed-pausecutcut-in-the-next-three-decisions-aprjunjul,https://polymarket.com/event/will-the-fed-pausecutcut-in-the-next-three-decisions-aprjunjul,40.88,795.9521539999998,24252.23418,2026-07-29T00:00:00Z,Fed,Yes=0.0315 / No=0.9685
Will US GDP growth in 2026 be greater than 2.5%?,will-us-gdp-growth-in-2026-be-greater-than-2pt5,https://polymarket.com/event/will-us-gdp-growth-in-2026-be-greater-than-2pt5,40.06,3961.0522919999994,744.5688,2027-01-29T00:00:00Z,GDP,Yes=0.46 / No=0.54
Will Kevin Hassett be confirmed as Fed Chair and will rates hit 2.5% or lower in 2026?,will-kevin-hassett-be-confirmed-as-fed-chair-and-will-rates-hit-2pt5-or-lower-in-2026-749,https://polymarket.com/event/will-kevin-hassett-be-confirmed-as-fed-chair-and-will-rates-hit-2pt5-or-lower-in-2026-749,40.0,11806.973285,4016.19994,2026-12-31T00:00:00Z,Fed,Yes=0.007 / No=0.993
Will US GDP growth in 2026 be between 1.5% and 2.0%?,will-us-gdp-growth-in-2026-be-between-1pt5-and-2pt0,https://polymarket.com/event/will-us-gdp-growth-in-2026-be-between-1pt5-and-2pt0,40.0,1317.253277,925.36308,2027-01-29T00:00:00Z,GDP,Yes=0.112 / No=0.888
Will Kevin Warsh be confirmed as Fed Chair and will rates hit 2.5% or lower in 2026?,will-kevin-warsh-be-confirmed-as-fed-chair-and-will-rates-hit-2pt5-or-lower-in-2026-447,https://polymarket.com/event/will-kevin-warsh-be-confirmed-as-fed-chair-and-will-rates-hit-2pt5-or-lower-in-2026-447,40.0,5557.320297999997,2586.6488,2026-12-31T00:00:00Z,Fed,Yes=0.115 / No=0.885
Will Christopher Waller be confirmed as Fed Chair and will rates hit 2.5% or lower in 2026?,will-christopher-waller-be-confirmed-as-fed-chair-and-will-rates-hit-2pt5-or-lower-in-2026-891,https://polymarket.com/event/will-christopher-waller-be-confirmed-as-fed-chair-and-will-rates-hit-2pt5-or-lower-in-2026-891,40.0,6199.436000000001,4788.34472,2026-12-31T00:00:00Z,Fed,Yes=0.0055 / No=0.9945
Will Kevin Hassett be confirmed as Fed Chair and will rates stay above 2.5% in 2026?,will-kevin-hassett-be-confirmed-as-fed-chair-and-will-rates-stay-above-2pt5-in-2026-923,https://polymarket.com/event/will-kevin-hassett-be-confirmed-as-fed-chair-and-will-rates-stay-above-2pt5-in-2026-923,40.0,7301.323933000001,5076.67684,2026-12-31T00:00:00Z,Fed,Yes=0.0035 / No=0.9965
Will Rick Rieder be confirmed as Fed Chair and will rates hit 2.5% or lower in 2026?,will-rick-rieder-be-confirmed-as-fed-chair-and-will-rates-hit-2pt5-or-lower-in-2026-372,https://polymarket.com/event/will-rick-rieder-be-confirmed-as-fed-chair-and-will-rates-hit-2pt5-or-lower-in-2026-372,40.0,24812.398190999997,7542.02948,2026-12-31T00:00:00Z,Fed,Yes=0.0115 / No=0.9885
Will Christopher Waller be confirmed as Fed Chair and will rates stay above 2.5% in 2026?,will-christopher-waller-be-confirmed-as-fed-chair-and-will-rates-stay-above-2pt5-in-2026-719,https://polymarket.com/event/will-christopher-waller-be-confirmed-as-fed-chair-and-will-rates-stay-above-2pt5-in-2026-719,40.0,7692.459933,11010.02383,2026-12-31T00:00:00Z,Fed,Yes=0.006 / No=0.994
Will something else than the listed options occur in respect to Fed Chair confirmation and rates?,will-something-else-than-the-listed-options-occur-in-respect-to-fed-chair-confirmation-and-rates-786,https://polymarket.com/event/will-something-else-than-the-listed-options-occur-in-respect-to-fed-chair-confirmation-and-rates-786,40.0,15294.294726000004,4108.34627,2026-12-31T00:00:00Z,Fed,Yes=0.032 / No=0.968
Will the Fed’s upper bound reach 5.0% or higher before 2027?,will-the-feds-upper-bound-reach-5pt0-or-higher-before-2027-783,https://polymarket.com/event/will-the-feds-upper-bound-reach-5pt0-or-higher-before-2027-783,40.0,12075.268187000063,9914.32911,2026-12-31T00:00:00Z,Fed,Yes=0.046 / No=0.954
Will US GDP growth in 2026 be between 1.0% and 1.5%?,will-us-gdp-growth-in-2026-be-between-1pt0-and-1pt5,https://polymarket.com/event/will-us-gdp-growth-in-2026-be-between-1pt0-and-1pt5,40.0,1500.1713040000002,2035.86687,2027-01-29T00:00:00Z,GDP,Yes=0.079 / No=0.921
Will two people dissent the April Fed decision?,will-two-people-dissent-the-april-fed-decision,https://polymarket.com/event/will-two-people-dissent-the-april-fed-decision,39.129999999999995,9297.497071999998,3231.5257,2026-04-29T00:00:00Z,Fed,Yes=0.14 / No=0.86
Will Jerome Powell depart as Fed Chair by June 30 2026?,will-jerome-powell-depart-as-fed-chair-by-june-30-2026,https://polymarket.com/event/will-jerome-powell-depart-as-fed-chair-by-june-30-2026,37.142856,6119.653792,3697.3236,2026-06-30T00:00:00Z,Fed,Yes=0.865 / No=0.135
"Will Powell say ""Inflation"" 60+ times during April press conference?",will-powell-say-inflation-60-times-during-april-press-conference,https://polymarket.com/event/will-powell-say-inflation-60-times-during-april-press-conference,36.157819,8834.558995000001,1861.4603,2026-04-29T00:00:00Z,CPI,Yes=0.235 / No=0.765
Will the Fed’s lower bound reach 2.75% or lower before 2027?,will-the-feds-lower-bound-reach-2pt75-or-lower-before-2027-448-727-854,https://polymarket.com/event/will-the-feds-lower-bound-reach-2pt75-or-lower-before-2027-448-727-854,32.74,268616.0978469995,18554.5117,2026-12-31T00:00:00Z,Fed,Yes=0.155 / No=0.845
Jerome Powell out from Fed Board by December 31?,jerome-powell-out-from-fed-board-by-december-31,https://polymarket.com/event/jerome-powell-out-from-fed-board-by-december-31,29.37,61643.553484999975,8627.0066,2026-12-31T00:00:00Z,Fed,Yes=0.71 / No=0.29
Negative GDP growth in 2026?,negative-gdp-growth-in-2026,https://polymarket.com/event/negative-gdp-growth-in-2026,26.0,21535.937266999987,11543.36452,2027-01-29T00:00:00Z,GDP,Yes=0.072 / No=0.928
Fed rate cut by July 2026 meeting?,fed-rate-cut-by-july-2026-meeting-577,https://polymarket.com/event/fed-rate-cut-by-july-2026-meeting-577,24.998459,37891.235457999996,24248.5882,2026-06-17T00:00:00Z,Fed,Yes=0.205 / No=0.795
Will inflation reach more than 6% in 2026?,will-inflation-reach-more-than-6-in-2026-978,https://polymarket.com/event/will-inflation-reach-more-than-6-in-2026-978,22.22,29047.10094300001,27193.6631,2026-12-31T00:00:00Z,CPI,Yes=0.135 / No=0.865
Will the Fed’s upper bound reach 4.5% or higher before 2027?,will-the-feds-upper-bound-reach-4pt5-or-higher-before-2027-835-459,https://polymarket.com/event/will-the-feds-upper-bound-reach-4pt5-or-higher-before-2027-835-459,21.0,13891.268634000004,9014.96892,2026-12-31T00:00:00Z,Fed,Yes=0.0545 / No=0.9455
Will 60 or more of senators vote “Yea” for Trump’s Fed Chair nominee?,will-60-or-more-of-senators-vote-yea-for-trumps-fed-chair-nominee-551,https://polymarket.com/event/will-60-or-more-of-senators-vote-yea-for-trumps-fed-chair-nominee-551,20.74,40806.79884000001,347.1284,2026-12-31T00:00:00Z,Fed,Yes=0.095 / No=0.905
Will the Fed’s lower bound reach 2.5% or lower before 2027?,will-the-feds-lower-bound-reach-2pt5-or-lower-before-2027-289-849-151-768,https://polymarket.com/event/will-the-feds-lower-bound-reach-2pt5-or-lower-before-2027-289-849-151-768,20.0,180532.72972500004,17293.3385,2026-12-31T00:00:00Z,Fed,Yes=0.105 / No=0.895
Will US GDP growth in 2026 be less than 0.5%?,will-us-gdp-growth-in-2026-be-less-than-0pt5,https://polymarket.com/event/will-us-gdp-growth-in-2026-be-less-than-0pt5,20.0,3772.277455999999,1914.54474,2027-01-29T00:00:00Z,GDP,Yes=0.074 / No=0.926
Will the Fed Pause–Cut–Pause in the next three decisions (Apr–Jun–Jul)?,will-the-fed-pausecutpause-in-the-next-three-decisions-aprjunjul,https://polymarket.com/event/will-the-fed-pausecutpause-in-the-next-three-decisions-aprjunjul,19.9,623.958017,14110.7403,2026-07-29T00:00:00Z,Fed,Yes=0.0295 / No=0.9705
Will the Fed’s upper bound reach 4.25% or higher before 2027?,will-the-feds-upper-bound-reach-4pt25-or-higher-before-2027,https://polymarket.com/event/will-the-feds-upper-bound-reach-4pt25-or-higher-before-2027,12.0,22855.538400999994,3171.36697,2026-12-31T00:00:00Z,Fed,Yes=0.0865 / No=0.9135
Will Jerome Powell depart as Fed Chair after July 3?,will-jerome-powell-depart-as-fed-chair-after-july-3,https://polymarket.com/event/will-jerome-powell-depart-as-fed-chair-after-july-3,10.0,778.6204949999999,7503.57539,2026-07-03T00:00:00Z,Fed,Yes=0.0335 / No=0.9665
Will the Fed Cut–Pause–Pause in the next three decisions (Apr–Jun–Jul)?,will-the-fed-cutpausepause-in-the-next-three-decisions-aprjunjul,https://polymarket.com/event/will-the-fed-cutpausepause-in-the-next-three-decisions-aprjunjul,9.87,1002.746518,25949.22254,2026-07-29T00:00:00Z,Fed,Yes=0.006 / No=0.994
Will the Fed Cut–Pause–Cut in the next three decisions (Apr–Jun–Jul)?,will-the-fed-cutpausecut-in-the-next-three-decisions-aprjunjul,https://polymarket.com/event/will-the-fed-cutpausecut-in-the-next-three-decisions-aprjunjul,9.87,736.5046139999998,15582.37938,2026-07-29T00:00:00Z,Fed,Yes=0.0345 / No=0.9655
Will the Fed Cut–Cut–Pause in the next three decisions (Apr–Jun–Jul)?,will-the-fed-cutcutpause-in-the-next-three-decisions-aprjunjul,https://polymarket.com/event/will-the-fed-cutcutpause-in-the-next-three-decisions-aprjunjul,9.87,739.8390999999999,15188.28533,2026-07-29T00:00:00Z,Fed,Yes=0.0025 / No=0.9975
Will the Fed Cut–Cut–Cut in the next three decisions (Apr–Jun–Jul)?,will-the-fed-cutcutcut-in-the-next-three-decisions-aprjunjul,https://polymarket.com/event/will-the-fed-cutcutcut-in-the-next-three-decisions-aprjunjul,9.87,765.5287339999999,14193.11633,2026-07-29T00:00:00Z,Fed,Yes=0.0035 / No=0.9965
Will the Fed Pause–Pause–Pause in the next three decisions (Apr–Jun–Jul)?,will-the-fed-pausepausepause-in-the-next-three-decisions-aprjunjul,https://polymarket.com/event/will-the-fed-pausepausepause-in-the-next-three-decisions-aprjunjul,9.87,1410.6225180000001,8380.8087,2026-07-29T00:00:00Z,Fed,Yes=0.785 / No=0.215
Will the Fed Pause–Pause–Cut in the next three decisions (Apr–Jun–Jul)?,will-the-fed-pausepausecut-in-the-next-three-decisions-aprjunjul,https://polymarket.com/event/will-the-fed-pausepausecut-in-the-next-three-decisions-aprjunjul,9.87,954.1040969999999,7570.3572,2026-07-29T00:00:00Z,Fed,Yes=0.115 / No=0.885
Will the Fed decide differently in the next three decisions (Apr–Jun–Jul)?,will-the-fed-decide-differently-in-the-next-three-decisions-aprjunjul,https://polymarket.com/event/will-the-fed-decide-differently-in-the-next-three-decisions-aprjunjul,9.87,915.4059509999996,5453.4951,2026-07-29T00:00:00Z,Fed,Yes=0.085 / No=0.915
Fed emergency rate cut before 2027?,fed-emergency-rate-cut-before-2027,https://polymarket.com/event/fed-emergency-rate-cut-before-2027,7.142856,102559.59118000002,18696.4525,2026-12-31T00:00:00Z,Fed,Yes=0.13 / No=0.87
Will Jerome Powell depart as Fed Chair between May 30 and June 5?,will-jerome-powell-depart-as-fed-chair-between-may-30-and-june-5,https://polymarket.com/event/will-jerome-powell-depart-as-fed-chair-between-may-30-and-june-5,6.08,1021.1495390000001,5587.458,2026-07-03T00:00:00Z,Fed,Yes=0.115 / No=0.885
"Will Powell say ""Goods inflation"" during April press conference?",will-powell-say-goods-inflation-during-april-press-conference,https://polymarket.com/event/will-powell-say-goods-inflation-during-april-press-conference,4.1473,2921.8526260000003,1565.277,2026-04-29T00:00:00Z,CPI,Yes=0.63 / No=0.37
Will the April 2026 unemployment rate be 4.3%?,will-the-april-2026-unemployment-rate-be-4pt3,https://polymarket.com/event/will-the-april-2026-unemployment-rate-be-4pt3,3.287056,1973.4383920000002,2165.4868,2026-05-08T00:00:00Z,Labor,Yes=0.33 / No=0.67
Will the Fed’s upper bound reach 5.5% or higher before 2027?,will-the-feds-upper-bound-reach-5pt5-or-higher-before-2027-767,https://polymarket.com/event/will-the-feds-upper-bound-reach-5pt5-or-higher-before-2027-767,3.08,44030.74094300001,9901.10194,2026-12-31T00:00:00Z,Fed,Yes=0.0505 / No=0.9495
Will Jerome Powell depart as Fed Chair before May 15?,will-jerome-powell-depart-as-fed-chair-before-may-15,https://polymarket.com/event/will-jerome-powell-depart-as-fed-chair-before-may-15,0.68,5013.141198000001,10334.87639,2026-07-03T00:00:00Z,Fed,Yes=0.026 / No=0.974
Will inflation reach more than 8% in 2026?,will-inflation-reach-more-than-8-in-2026-897,https://polymarket.com/event/will-inflation-reach-more-than-8-in-2026-897,0.0,34159.650962,31658.03911,2026-12-31T00:00:00Z,CPI,Yes=0.073 / No=0.927
Will 53 senators vote “Yea” for Trump’s Fed Chair nominee?,will-53-senators-vote-yea-for-trumps-fed-chair-nominee-968,https://polymarket.com/event/will-53-senators-vote-yea-for-trumps-fed-chair-nominee-968,0.0,220.959258,457.9085,2026-12-31T00:00:00Z,Fed,Yes=0.09 / No=0.91
Will US unemployment reach at least 10.0% in 2026?,will-us-unemployment-reach-at-least-10pt0-in-2026,https://polymarket.com/event/will-us-unemployment-reach-at-least-10pt0-in-2026,0.0,23047.327632999986,2875.33922,2026-01-10T00:00:00Z,Labor,Yes=0.052 / No=0.948
Will the Fed’s lower bound reach 1.5% or lower before 2027?,will-the-feds-lower-bound-reach-1pt5-or-lower-before-2027-323-587-832-877-443,https://polymarket.com/event/will-the-feds-lower-bound-reach-1pt5-or-lower-before-2027-323-587-832-877-443,0.0,24930.184143,9053.9142,2026-12-31T00:00:00Z,Fed,Yes=0.07 / No=0.93
Will 49 or fewer senators vote “Yea” for Trump’s Fed Chair nominee?,will-49-or-fewer-senators-vote-yea-for-trumps-fed-chair-nominee-133,https://polymarket.com/event/will-49-or-fewer-senators-vote-yea-for-trumps-fed-chair-nominee-133,0.0,21051.504168,416.59351,2026-12-31T00:00:00Z,Fed,Yes=0.217 / No=0.783
Will 50 senators vote “Yea” for Trump’s Fed Chair nominee?,will-50-senators-vote-yea-for-trumps-fed-chair-nominee-927,https://polymarket.com/event/will-50-senators-vote-yea-for-trumps-fed-chair-nominee-927,0.0,0.0,582.192,2026-12-31T00:00:00Z,Fed,Yes=0.041 / No=0.959
Will 51 senators vote “Yea” for Trump’s Fed Chair nominee?,will-51-senators-vote-yea-for-trumps-fed-chair-nominee-686,https://polymarket.com/event/will-51-senators-vote-yea-for-trumps-fed-chair-nominee-686,0.0,226.04353199999997,352.2264,2026-12-31T00:00:00Z,Fed,Yes=0.275 / No=0.725
Will 52 senators vote “Yea” for Trump’s Fed Chair nominee?,will-52-senators-vote-yea-for-trumps-fed-chair-nominee-315,https://polymarket.com/event/will-52-senators-vote-yea-for-trumps-fed-chair-nominee-315,0.0,484.74379099999993,752.52147,2026-12-31T00:00:00Z,Fed,Yes=0.0265 / No=0.9735
Will 54 senators vote “Yea” for Trump’s Fed Chair nominee?,will-54-senators-vote-yea-for-trumps-fed-chair-nominee-682,https://polymarket.com/event/will-54-senators-vote-yea-for-trumps-fed-chair-nominee-682,0.0,233.33297800000003,411.33784,2026-12-31T00:00:00Z,Fed,Yes=0.041 / No=0.959
Will 55 senators vote “Yea” for Trump’s Fed Chair nominee?,will-55-senators-vote-yea-for-trumps-fed-chair-nominee-946,https://polymarket.com/event/will-55-senators-vote-yea-for-trumps-fed-chair-nominee-946,0.0,0.0,383.35549,2026-12-31T00:00:00Z,Fed,Yes=0.252 / No=0.748
Fed abolished before 2027?,fed-abolished-before-2027,https://polymarket.com/event/fed-abolished-before-2027,0.0,3724.328541,5355.08868,2026-12-31T00:00:00Z,Fed,Yes=0.038 / No=0.962
Will 56 senators vote “Yea” for Trump’s Fed Chair nominee?,will-56-senators-vote-yea-for-trumps-fed-chair-nominee-377,https://polymarket.com/event/will-56-senators-vote-yea-for-trumps-fed-chair-nominee-377,0.0,52.44,471.21393,2026-12-31T00:00:00Z,Fed,Yes=0.012 / No=0.988
Will 57 senators vote “Yea” for Trump’s Fed Chair nominee?,will-57-senators-vote-yea-for-trumps-fed-chair-nominee-499,https://polymarket.com/event/will-57-senators-vote-yea-for-trumps-fed-chair-nominee-499,0.0,0.0,440.53038,2026-12-31T00:00:00Z,Fed,Yes=0.0395 / No=0.9605
Will 58 senators vote “Yea” for Trump’s Fed Chair nominee?,will-58-senators-vote-yea-for-trumps-fed-chair-nominee-791,https://polymarket.com/event/will-58-senators-vote-yea-for-trumps-fed-chair-nominee-791,0.0,0.0,437.45174,2026-12-31T00:00:00Z,Fed,Yes=0.0485 / No=0.9515
Will 59 senators vote “Yea” for Trump’s Fed Chair nominee?,will-59-senators-vote-yea-for-trumps-fed-chair-nominee-527,https://polymarket.com/event/will-59-senators-vote-yea-for-trumps-fed-chair-nominee-527,0.0,388.25292199999996,422.71376,2026-12-31T00:00:00Z,Fed,Yes=0.0115 / No=0.9885
Will US unemployment reach at least 7.0% in 2026?,will-us-unemployment-reach-at-least-7pt0-in-2026,https://polymarket.com/event/will-us-unemployment-reach-at-least-7pt0-in-2026,0.0,17575.22560900001,2465.1359,2026-01-10T00:00:00Z,Labor,Yes=0.135 / No=0.865
Will US unemployment reach at least 6.0% in 2026?,will-us-unemployment-reach-at-least-6pt0-in-2026,https://polymarket.com/event/will-us-unemployment-reach-at-least-6pt0-in-2026,0.0,50338.316171999984,3213.7432,2026-01-10T00:00:00Z,Labor,Yes=0.165 / No=0.835
Will inflation reach more than 10% in 2026?,will-inflation-reach-more-than-10-in-2026-741,https://polymarket.com/event/will-inflation-reach-more-than-10-in-2026-741,0.0,30986.42452300001,38586.04002,2026-12-31T00:00:00Z,CPI,Yes=0.0435 / No=0.9565
Will the Fed’s lower bound reach 0.25% or lower before 2027?,will-the-feds-lower-bound-reach-0pt25-or-lower-before-2027-173-921-916-764-754-593-935,https://polymarket.com/event/will-the-feds-lower-bound-reach-0pt25-or-lower-before-2027-173-921-916-764-754-593-935,0.0,119385.42769699998,9637.45014,2026-12-31T00:00:00Z,Fed,Yes=0.045 / No=0.955
"Will Trump try to fire Powell as Fed Board Member by June 30, 2026?",will-trump-try-to-fire-powell-as-fed-board-member-by-june-30-2026,https://polymarket.com/event/will-trump-try-to-fire-powell-as-fed-board-member-by-june-30-2026,0.0,3819.5297399999968,5113.664,2026-12-31T00:00:00Z,Fed,Yes=0.09 / No=0.91
"Will Trump try to fire Powell as Fed Board Member by December 31, 2026?",will-trump-try-to-fire-powell-as-fed-board-member-by-december-31-2026-239,https://polymarket.com/event/will-trump-try-to-fire-powell-as-fed-board-member-by-december-31-2026-239,0.0,4258.304273000001,4637.1823,2026-12-31T00:00:00Z,Fed,Yes=0.295 / No=0.705
Will the Fed’s lower bound reach 2.25% or lower before 2027?,will-the-feds-lower-bound-reach-2pt25-or-lower-before-2027-766-981-398-889-982,https://polymarket.com/event/will-the-feds-lower-bound-reach-2pt25-or-lower-before-2027-766-981-398-889-982,0.0,23063.089572000015,9729.0091,2026-12-31T00:00:00Z,Fed,Yes=0.08 / No=0.92
Will the Fed’s lower bound reach 0% or lower before 2027?,will-the-feds-lower-bound-reach-0-or-lower-before-2027-196-363-557-457-329-251-881,https://polymarket.com/event/will-the-feds-lower-bound-reach-0-or-lower-before-2027-196-363-557-457-329-251-881,0.0,10783.636957000002,16977.72538,2026-12-31T00:00:00Z,Fed,Yes=0.0595 / No=0.9405
Will Jerome Powell depart as Fed Chair by May 16 2026?,will-jerome-powell-depart-as-fed-chair-by-may-16-2026,https://polymarket.com/event/will-jerome-powell-depart-as-fed-chair-by-may-16-2026,0.0,3915.710880000001,3646.8231,2026-06-30T00:00:00Z,Fed,Yes=0.17 / No=0.83
"Jerome Powell out as Fed Chair by June 30, 2026?",jerome-powell-out-as-fed-chair-by-june-30-2026,https://polymarket.com/event/jerome-powell-out-as-fed-chair-by-june-30-2026,0.0,7870.411427,10988.1333,2026-05-14T00:00:00Z,Fed,Yes=0.885 / No=0.115
Will the Fed’s lower bound reach 0.5% or lower before 2027?,will-the-feds-lower-bound-reach-0pt5-or-lower-before-2027-459-115-473-497-424-381-849,https://polymarket.com/event/will-the-feds-lower-bound-reach-0pt5-or-lower-before-2027-459-115-473-497-424-381-849,0.0,95514.845786,15171.71875,2026-12-31T00:00:00Z,Fed,Yes=0.0285 / No=0.9715
Will Jerome Powell depart as Fed Chair between May 23 and May 29?,will-jerome-powell-depart-as-fed-chair-between-may-23-and-may-29,https://polymarket.com/event/will-jerome-powell-depart-as-fed-chair-between-may-23-and-may-29,0.0,3234.867283,4423.4104,2026-07-03T00:00:00Z,Fed,Yes=0.145 / No=0.855
Will the Fed’s lower bound reach 0.75% or lower before 2027?,will-the-feds-lower-bound-reach-0pt75-or-lower-before-2027-363-525-928-736-291-548-229,https://polymarket.com/event/will-the-feds-lower-bound-reach-0pt75-or-lower-before-2027-363-525-928-736-291-548-229,0.0,388.48950999999994,8991.79923,2026-12-31T00:00:00Z,Fed,Yes=0.085 / No=0.915
Will Jerome Powell depart as Fed Chair between June 27 and July 3?,will-jerome-powell-depart-as-fed-chair-between-june-27-and-july-3,https://polymarket.com/event/will-jerome-powell-depart-as-fed-chair-between-june-27-and-july-3,0.0,893.9006,7787.86691,2026-07-03T00:00:00Z,Fed,Yes=0.026 / No=0.974
